LAT,LON,ORIENTX,ORIENTY,ORIENTZ,ORIENTW,STEER,THR
24.998032705688477,121.32316626416015,0.013154147558558238,0.005102214977616693,-0.9996385735542949,-0.02288357635214026,30.0,0.0
24.998030798339844,121.32316626416015,0.013407224823136688,0.00504781104892177,-0.9993235276901784,-0.033871122376050694,-109.0,0.0
24.99802889099121,121.32316626416015,0.01338526270187469,0.005162245041351909,-0.9992210449389397,-0.03676260762879112,-64.0,0.0
24.99802698364258,121.32316626416015,0.010194148655055852,0.009748750176718345,-0.9841997784965771,-0.176498830620713,-126.5,0.0
24.998025076293946,121.32316626416015,0.014203195883061253,0.005521250763734577,-0.954869294314779,-0.29663515602758106,-24.0,0.0
24.998023168945313,121.32316626416015,0.024041878116260244,-0.003007230824120715,-0.9555701787147286,-0.2937661965075545,-182.0,95.0
24.99802126159668,121.32317389355468,0.01353104796730919,0.00521763717821408,-0.9565853742297683,-0.29109123795277175,253.0,0.0
24.998019354248047,121.32317389355468,0.012535555305605406,0.007888602568823634,-0.952662304340027,-0.3036694974676265,724.0,0.0
24.998017446899414,121.32317389355468,0.014768555400368803,0.005633947591867565,-0.9591532088016265,-0.2824451636184654,-182.0,0.0
24.99801553955078,121.32317389355468,0.0030386370034820287,0.013186694441860576,-0.9998081637127115,-0.01416028065660231,-182.0,0.0
24.99801363220215,121.32317389355468,0.011735434502277159,0.007423484811000316,-0.9563026927351463,-0.29204850850126246,481.5,0.0
24.99801363220215,121.32318152294921,0.007475115301925621,0.009909232412241033,-0.9516953694777951,-0.3067928510880694,1843.0,83.0
24.998011724853516,121.32318152294921,0.007189156887667158,0.00891925188350885,-0.9592996363595595,-0.2821577052811061,1858.0,0.0
24.998009817504883,121.32318152294921,0.020429416018855746,-0.0038768701745057715,-0.948563835044438,-0.31590229452247864,342.0,103.0
24.99800791015625,121.32318152294921,0.010841704129102406,0.0059830704081939995,-0.9502424310956759,-0.31126513210677387,371.0,28.0
24.99800791015625,121.32318915234374,0.011757452506748542,0.010231275394106272,-0.9604241538509796,-0.2781052462899458,449.0,62.0
24.998006002807617,121.32318915234374,0.012303058147501078,0.0026702442685127667,-0.9987061920668827,-0.04926912301870755,-182.0,20.0
24.998004095458985,121.32318915234374,0.018204408244406438,-0.005074898076798469,-0.9985469624977604,-0.05046591539323531,-182.0,88.0
24.998002188110352,121.32318915234374,0.017150116111501898,-0.00391235753335912,-0.9981636630780579,-0.05796437428702577,-182.0,26.0
24.99800028076172,121.32319678173828,0.0122975748283708,0.005304812863023561,-0.9991749015585164,-0.03834246613557824,-182.0,47.0
24.997998373413086,121.32319678173828,0.006581041293729969,0.010539819610272002,-0.9997055209884084,-0.020844025603709383,-182.0,51.0
24.997996466064453,121.32319678173828,0.005497997317916837,0.011063568546096223,-0.9879195708230517,-0.15447424076950542,-182.0,50.0
24.997996466064453,121.3232044111328,0.013344766635137797,0.006932670054865197,-0.9626678091751478,-0.27026754238584594,-738.0,64.0
24.99799455871582,121.3232044111328,0.014544485445150447,0.006643651877506802,-0.9610800080366017,-0.27580706659770704,-738.0,64.0
24.997992651367188,121.3232044111328,0.014609460831045048,0.007609761339106141,-0.9560403747775523,-0.29277202219779347,-182.0,92.0
24.997990744018555,121.3232044111328,0.014209030746624862,0.006083544878618978,-0.9868971832996575,-0.160608354459392,-182.0,97.0
24.997988836669922,121.32321204052734,0.017351840204640694,0.0035984144264232074,-0.9855108835485347,-0.16868391583821693,-378.0,93.0
24.99798692932129,121.32321204052734,0.015515270926823746,0.009065316424175065,-0.9552284492309567,-0.29532305393588576,-182.0,92.5
24.997985021972656,121.32321204052734,0.012225088253651022,0.012476073939039375,-0.9567096964625453,-0.29051927903463165,-182.0,40.0
24.997983114624024,121.32321966992187,0.019321090526521544,1.40530424866522e-06,-0.9842012098938149,-0.175996232637071,-182.0,94.0
24.99798120727539,121.32321966992187,0.01221202564066862,0.0068741434688110396,-0.9989996170094153,-0.04246619592526531,-182.0,28.0
24.997979299926758,121.3232272993164,0.009530737897000627,0.010769680258042156,-0.9519695264650401,-0.3058548670598617,-182.0,80.0
24.997977392578125,121.3232272993164,0.010784505896705552,0.008560027737053168,-0.9999038965589647,-0.0016180246919778127,-182.0,80.0
24.99797357788086,121.3232272993164,0.005081286102602422,0.0156508737538664,-0.9486306029094097,-0.3159576077672669,469.0,50.0
24.99797357788086,121.32323492871093,0.012311372867510228,0.007126473456857483,-0.9994667062096864,-0.029392969440772625,238.0,50.0
24.997971670532227,121.32323492871093,0.01343101784898278,0.004553290803074648,-0.9530066682182484,-0.30261719322265307,49.0,73.0
24.997969763183594,121.32323492871093,0.00317612187629142,0.0166609395870115,-0.9541943742684548,-0.2987062460952846,56.0,55.0
24.997969763183594,121.32324255810546,0.019633609096930193,0.005662575664371623,-0.9989728829607879,-0.0404429937033077,192.0,67.0
24.99796594848633,121.32324255810546,0.014402643607455572,0.006810279843828099,-0.9564304521098156,-0.2915252548623862,521.0,44.0
24.997964041137696,121.32324255810546,0.007706832846852009,0.012808457051026595,-0.9572051235961009,-0.2890240466065344,585.0,77.0
24.997962133789063,121.3232501875,0.013150334489789145,0.0065977710910874905,-0.9993876272485088,-0.03174757663242452,771.0,69.0
24.997958319091797,121.3232501875,0.01754943808086784,0.006070638673689156,-0.9611663581498685,-0.2753441419933566,506.0,63.0
24.997956411743164,121.32325781689453,0.01062825989990995,0.007046455324276947,-0.9867640949616757,-0.16166016347056048,1176.0,7.0
